sep=	
Gene-ID	A1_3_cell_0	A1_3_cell_1	A1_3_cell_2	A1_3_cell_3	A1_3_cell_4	A1_3_cell_5	A1_3_cell_6	A1_3_cell_7	A1_3_cell_8	A1_3_cell_9	A1_3_cell_10	A1_3_cell_11	A1_3_cell_12	A1_3_cell_13	A1_3_cell_14	A1_3_cell_15	A1_3_cell_16	A1_3_cell_17	A1_3_cell_18	A1_3_cell_19	A1_3_cell_20	A1_3_cell_21	A1_3_cell_22	A1_3_cell_23	A1_3_cell_24	A1_3_cell_25	A1_3_cell_26	A1_3_cell_27	A1_3_cell_28	A1_3_cell_29	A1_3_cell_30	A1_3_cell_31	A1_3_cell_32	A1_3_cell_33	A1_3_cell_34	A1_3_cell_35	A1_3_cell_36	A1_3_cell_37	A1_3_cell_38	A1_3_cell_39	A1_3_cell_40	A1_3_cell_41	A1_3_cell_42	A1_3_cell_43	A1_3_cell_44	A1_3_cell_45	A1_3_cell_46	A1_3_cell_47	A1_3_cell_48	A1_3_cell_49	A1_3_cell_50	A1_3_cell_51	A1_3_cell_52	A1_3_cell_53	A1_3_cell_54	A1_3_cell_55	A1_3_cell_56	A1_3_cell_57	A1_3_cell_58	A1_3_cell_59	A1_3_cell_60	A1_3_cell_61	A1_3_cell_62	A1_3_cell_63	A1_3_cell_64	A1_3_cell_65	A1_3_cell_66	A1_3_cell_67	A1_3_cell_68	A1_3_cell_69	A1_3_cell_70	A1_3_cell_71	A1_3_cell_72	A1_3_cell_73	A1_3_cell_74	A1_3_cell_75	A1_3_cell_76	A1_3_cell_77	A1_3_cell_78	A1_3_cell_79	A1_3_cell_80	A1_3_cell_81	A1_3_cell_82	A1_3_cell_83	A1_3_cell_84	A1_3_cell_85	A1_3_cell_86	A1_3_cell_87	A1_3_cell_88	A1_3_cell_89	A1_3_cell_90	A1_3_cell_91	A1_3_cell_92	A1_3_cell_93	A1_3_cell_94	A1_3_cell_95	A1_3_cell_96	A1_3_cell_97	A1_3_cell_98	A1_3_cell_99	A1_3_cell_100	A1_3_cell_101	A1_3_cell_102	A1_3_cell_103	A1_3_cell_104	A1_3_cell_105	A1_3_cell_106	A1_3_cell_107	A1_3_cell_108	A1_3_cell_109	A1_3_cell_110	A1_3_cell_111	A1_3_cell_112	A1_3_cell_113	A1_3_cell_114	A1_3_cell_115	A1_3_cell_116	A1_3_cell_117	A1_3_cell_118	A1_3_cell_119	A1_3_cell_120	A1_3_cell_121	A1_3_cell_122	A1_3_cell_123	A1_3_cell_124	A1_3_cell_125	A1_3_cell_126	A1_3_cell_127	A1_3_cell_128	A1_3_cell_129	A1_3_cell_130	A1_3_cell_131	A1_3_cell_132	A1_3_cell_133	A1_3_cell_134	A1_3_cell_135	A1_3_cell_136	A1_3_cell_137	A1_3_cell_138	A1_3_cell_139	A1_3_cell_140	A1_3_cell_141	A1_3_cell_142	A1_3_cell_143	A1_3_cell_144	A1_3_cell_145	A1_3_cell_146	A1_3_cell_147	A1_3_cell_148	A1_3_cell_149	A1_3_cell_150	A1_3_cell_151	A1_3_cell_152	A1_3_cell_153	A1_3_cell_154	A1_3_cell_155	A1_3_cell_156	A1_3_cell_157	A1_3_cell_158	A1_3_cell_159	A1_3_cell_160	A1_3_cell_161	A1_3_cell_162	A1_3_cell_163	A1_3_cell_164	A1_3_cell_165	A1_3_cell_166	A1_3_cell_167	A1_3_cell_168	A1_3_cell_169	A1_3_cell_170	A1_3_cell_171	A1_3_cell_172	A1_3_cell_173	A1_3_cell_174	A1_3_cell_175	A1_3_cell_176	A1_3_cell_177	A1_3_cell_178	A1_3_cell_179	A1_3_cell_180	A1_3_cell_181	A1_3_cell_182	A1_3_cell_183	A1_3_cell_184	A1_3_cell_185	A1_3_cell_186	A1_3_cell_187	A1_3_cell_188	A1_3_cell_189	A1_3_cell_190	A1_3_cell_191	A1_3_cell_192	A1_3_cell_193	A1_3_cell_194	A1_3_cell_195	A1_3_cell_196	A1_3_cell_197	A1_3_cell_198	A1_3_cell_199	A1_3_cell_200	A1_3_cell_201	A1_3_cell_202	A1_3_cell_203	A1_3_cell_204	A1_3_cell_205	A1_3_cell_206	A1_3_cell_207	A1_3_cell_208	A1_3_cell_209	A1_3_cell_210	A1_3_cell_211	A1_3_cell_212	A1_3_cell_213	A1_3_cell_214	A1_3_cell_215	A1_3_cell_216	A1_3_cell_217	A1_3_cell_218	A1_3_cell_219	A1_3_cell_220	A1_3_cell_221	A1_3_cell_222	A1_3_cell_223	A1_3_cell_224	A1_3_cell_225	A1_3_cell_226	A1_3_cell_227	A1_3_cell_228	A1_3_cell_229	A1_3_cell_230	A1_3_cell_231	A1_3_cell_232	A1_3_cell_233	A1_3_cell_234	A1_3_cell_235	A1_3_cell_236	A1_3_cell_237	A1_3_cell_238	A1_3_cell_239	A1_3_cell_240	A1_3_cell_241	A1_3_cell_242	A1_3_cell_243	A1_3_cell_244	A1_3_cell_245	A1_3_cell_246	A1_3_cell_247	A1_3_cell_248	A1_3_cell_249	A1_3_cell_250	A1_3_cell_251	A1_3_cell_252	A1_3_cell_253	A1_3_cell_254	A1_3_cell_255	A1_3_cell_256	A1_3_cell_257	A1_3_cell_258	A1_3_cell_259	A1_3_cell_260	A1_3_cell_261	A1_3_cell_262	A1_3_cell_263	A1_3_cell_264	A1_3_cell_265	A1_3_cell_266	A1_3_cell_267	A1_3_cell_268	A1_3_cell_269	A1_3_cell_270	A1_3_cell_271	A1_3_cell_272	A1_3_cell_273	A1_3_cell_274	A1_3_cell_275	A1_3_cell_276	A1_3_cell_277	A1_3_cell_278	A1_3_cell_279	A1_3_cell_280	A1_3_cell_281	A1_3_cell_282	A1_3_cell_283	A1_3_cell_284	A1_3_cell_285	A1_3_cell_286	A1_3_cell_287	A1_3_cell_288	A1_3_cell_289	A1_3_cell_290	A1_3_cell_291	A1_3_cell_292	A1_3_cell_293	A1_3_cell_294	A1_3_cell_295	A1_3_cell_296	A1_3_cell_297	A1_3_cell_298	A1_3_cell_299	A1_3_cell_300	A1_3_cell_301	A1_3_cell_302	A1_3_cell_303	A1_3_cell_304	A1_3_cell_305	A1_3_cell_306	A1_3_cell_307	A1_3_cell_308	A1_3_cell_309	A1_3_cell_310	A1_3_cell_311	A1_3_cell_312	A1_3_cell_313	A1_3_cell_314	A1_3_cell_315	A1_3_cell_316	A1_3_cell_317	A1_3_cell_318	A1_3_cell_319	A1_3_cell_320	A1_3_cell_321	A1_3_cell_322	A1_3_cell_323	A1_3_cell_324	A1_3_cell_325	A1_3_cell_326	A1_3_cell_327	A1_3_cell_328	A1_3_cell_329	A1_3_cell_330	A1_3_cell_331	A1_3_cell_332	A1_3_cell_333	A1_3_cell_334	A1_3_cell_335	A1_3_cell_336	A1_3_cell_337	A1_3_cell_338	A1_3_cell_339	A1_3_cell_340	A1_3_cell_341	A1_3_cell_342	A1_3_cell_343	A1_3_cell_344	A1_3_cell_345	A1_3_cell_346	A1_3_cell_347	A1_3_cell_348	A1_3_cell_349	A1_3_cell_350	A1_3_cell_351	A1_3_cell_352	A1_3_cell_353	A1_3_cell_354	A1_3_cell_355	A1_3_cell_356	A1_3_cell_357	A1_3_cell_358	A1_3_cell_359	A1_3_cell_360	A1_3_cell_361	A1_3_cell_362	A1_3_cell_363	A1_3_cell_364	A1_3_cell_365	A1_3_cell_366	A1_3_cell_367	A1_3_cell_368	A1_3_cell_369	A1_3_cell_370	A1_3_cell_371	A1_3_cell_372	A1_3_cell_373	A1_3_cell_374	A1_3_cell_375	A1_3_cell_376	A1_3_cell_377	A1_3_cell_378	A1_3_cell_379	A1_3_cell_380	A1_3_cell_381	A1_3_cell_382	A1_3_cell_383	A1_3_cell_384	A1_3_cell_385	A1_3_cell_386	A1_3_cell_387	A1_3_cell_388	A1_3_cell_389	A1_3_cell_390	A1_3_cell_391	A1_3_cell_392	A1_3_cell_393	A1_3_cell_394	A1_3_cell_395	A1_3_cell_396	A1_3_cell_397	A1_3_cell_398	A1_3_cell_399	A1_3_cell_400	A1_3_cell_401	A1_3_cell_402	A1_3_cell_403	A1_3_cell_404	A1_3_cell_405	A1_3_cell_406	A1_3_cell_407	A1_3_cell_408	A1_3_cell_409	A1_3_cell_410	A1_3_cell_411	A1_3_cell_412	A1_3_cell_413	A1_3_cell_414	A1_3_cell_415	A1_3_cell_416	A1_3_cell_417	A1_3_cell_418	A1_3_cell_419	A1_3_cell_420	A1_3_cell_421	A1_3_cell_422	A1_3_cell_423	A1_3_cell_424	A1_3_cell_425	A1_3_cell_426	A1_3_cell_427	A1_3_cell_428	A1_3_cell_429	A1_3_cell_430	A1_3_cell_431	A1_3_cell_432	A1_3_cell_433	A1_3_cell_434	A1_3_cell_435	A1_3_cell_436	A1_3_cell_437	A1_3_cell_438	A1_3_cell_439	A1_3_cell_440	A1_3_cell_441	A1_3_cell_442	A1_3_cell_443	A1_3_cell_444	A1_3_cell_445	A1_3_cell_446	A1_3_cell_447	A1_3_cell_448	A1_3_cell_449	A1_3_cell_450	A1_3_cell_451	A1_3_cell_452	A1_3_cell_453	
ano1_L	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	
atp6v1b1_L	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ctcf_S	757	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	1	2	0	1	1	3	2	1	1	0	0	1	0	0	0	2	4	0	2	5	0	0	5	0	0	2	0	0	1	0	1	0	2	0	2	1	1	5	3	0	0	0	1	0	1	2	0	1	2	0	0	2	0	0	0	1	0	2	1	2	4	0	0	0	4	5	5	1	1	0	0	2	2	1	0	1	0	0	0	0	0	0	1	3	2	0	2	1	0	0	0	0	0	4	0	2	0	2	0	0	0	2	1	0	0	1	0	3	0	1	2	0	1	0	1	3	0	2	1	2	5	0	1	2	5	1	0	2	2	0	0	0	1	5	1	2	3	0	0	1	1	0	1	4	0	3	5	1	1	2	0	2	2	3	0	0	1	2	2	1	0	0	1	0	2	0	4	1	1	2	0	0	0	0	2	0	1	0	0	0	1	2	0	1	7	3	0	1	0	4	0	2	2	1	6	4	1	0	1	2	1	7	3	0	7	0	1	3	0	0	7	3	0	1	2	0	4	2	3	1	1	10	4	5	4	3	4	4	4	4	1	6	0	1	1	1	0	6	6	0	5	0	0	3	0	1	0	1	1	2	4	8	0	3	0	1	4	1	2	1	1	0	1	0	3	0	4	0	1	0	0	1	1	3	2	0	0	1	3	0	0	6	2	2	2	4	0	1	2	2	0	1	3	0	1	1	2	0	1	0	1	3	4	1	0	1	0	2	0	1	1	2	0	0	0	1	0	7	1	1	0	13	1	1	4	3	1	1	4	3	1	4	2	3	1	1	2	1	6	1	2	2	5	0	6	2	3	1	4	1	0	1	5	1	1	4	2	0	1	1	0	0	1	0	3	1	3	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	5	5	2	0	2	2	1	0	0	1	0	4	1	1	0	0	0	0	1	3	0	0	0	
e2f4_L	368	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	2	1	1	0	1	0	0	2	0	0	0	2	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	1	1	0	0	0	1	7	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	0	2	1	4	2	0	1	0	0	1	0	0	2	2	0	3	1	0	0	0	0	0	0	0	2	1	0	1	1	1	0	2	1	0	1	3	0	0	2	1	1	1	1	0	1	0	1	2	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	3	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	1	2	0	3	0	0	0	0	2	0	1	1	0	1	0	1	3	1	1	1	0	0	3	0	0	1	3	1	1	2	1	2	1	5	1	2	1	1	1	0	1	1	0	0	0	0	2	3	0	5	0	1	2	0	0	1	1	2	1	0	3	0	3	1	0	0	0	1	1	0	0	0	2	2	0	3	1	2	0	1	2	0	1	1	0	0	0	2	1	0	1	0	0	0	3	2	2	0	2	1	0	0	0	1	0	2	1	0	1	0	0	0	0	1	2	2	0	0	0	0	2	0	0	2	0	1	1	1	0	2	4	1	1	0	0	1	0	4	2	1	2	0	1	0	0	1	0	2	0	0	0	2	0	1	1	1	4	1	2	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	3	0	1	0	0	0	0	0	1	2	2	0	0	2	0	1	0	0	0	0	0	0	
esrra_L	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
foxa1_L	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
foxn4_L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
